"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Gallagher A.J.; Shipley O.N.; van Zinnicq Bergmann M.P.M.; Brownscombe J.W.; Dahlgren C.P.; Frisk M.G.; Griffin L.P.; Hammerschlag N.; Kattan S.; Papastamatiou Y.P.; Shea B.D.; Kessel S.T.; Duarte C.M.","Gallagher, Austin J. (36995266400); Shipley, Oliver N. (57189761005); van Zinnicq Bergmann, Maurits P. M. (57193863992); Brownscombe, Jacob W. (36702448300); Dahlgren, Craig P. (7005801867); Frisk, Michael G. (7004645411); Griffin, Lucas P. (56819815900); Hammerschlag, Neil (56024740400); Kattan, Sami (57221384149); Papastamatiou, Yannis P. (6507964322); Shea, Brendan D. (57212166973); Kessel, Steven T. (7003529754); Duarte, Carlos M. (55636631300)","36995266400; 57189761005; 57193863992; 36702448300; 7005801867; 7004645411; 56819815900; 56024740400; 57221384149; 6507964322; 57212166973; 7003529754; 55636631300","Spatial Connectivity and Drivers of Shark Habitat Use Within a Large Marine Protected Area in the Caribbean, The Bahamas Shark Sanctuary","2021","Frontiers in Marine Science","7","","608848","","","","30","10.3389/fmars.2020.608848","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101180441&doi=10.3389%2ffmars.2020.608848&partnerID=40&md5=d8fddda455a3b8d55c2d212896c8fbe1","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85101180441"
"Walsh E.J.; McGee J.","Walsh, Edward J. (16187659400); McGee, JoAnn (35581811400)","16187659400; 35581811400","What makes a big cat roar?","2024","Physics Today","77","11","","54","55","1","0","10.1063/pt.ytfo.thhj","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210925850&doi=10.1063%2fpt.ytfo.thhj&partnerID=40&md5=155a36e68a525cdbb37b2584b38cb2f3","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85210925850"
"Fernández Y.; Dowdy N.J.; Conner W.E.","Fernández, Yohami (54583487200); Dowdy, Nicolas J. (57190293460); Conner, William E. (7102658227)","54583487200; 57190293460; 7102658227","High duty cycle moth sounds jam bat echolocation: bats counter with compensatory changes in buzz duration","2022","Journal of Experimental Biology","225","18","jeb244187","","","","3","10.1242/jeb.244187","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138460779&doi=10.1242%2fjeb.244187&partnerID=40&md5=47019fbef22c6deff43fce2f6e88760a","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85138460779"
"Bianchi A.","Bianchi, Andrea (36473081900)","36473081900","Kind terms and semantic uniformity","2022","Philosophia (United States)","50","1","","7","17","10","1","10.1007/s11406-021-00433-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119507405&doi=10.1007%2fs11406-021-00433-4&partnerID=40&md5=b9cd207a74612d428039f84eeb0a2fc1","Article","Final","","Scopus","2-s2.0-85119507405"
"Foreman E.; Sailors P.R.","Foreman, Elizabeth (37052004500); Sailors, Pam R. (6506704657)","37052004500; 6506704657","Dogs and tigers and fish, oh my! Sporting captivity","2023","Sport, Ethics and Philosophy","17","4","","477","487","10","0","10.1080/17511321.2023.2188248","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150702268&doi=10.1080%2f17511321.2023.2188248&partnerID=40&md5=c81b370c6cb8a2626882c0b77bd16715","Article","Final","","Scopus","2-s2.0-85150702268"
"Dampage U.; Thajudeen R.; Jasenthuliyana S.; Jayawardena J.","Dampage, Udaya (56046109300); Thajudeen, Rienzi (57222707016); Jasenthuliyana, Shasini (57222706985); Jayawardena, Jehan (57222707552)","56046109300; 57222707016; 57222706985; 57222707552","Automated virtual elephant fence based on detection, alarming, and coordinated redirection of wild elephants","2021","Environmental Monitoring and Assessment","193","4","240","","","","6","10.1007/s10661-021-09024-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103743910&doi=10.1007%2fs10661-021-09024-y&partnerID=40&md5=e12978a80d1b214e72b4e90068d74375","Article","Final","","Scopus","2-s2.0-85103743910"
"Schoen J.M.; Neelakantan A.; Cushman S.A.; Dutta T.; Habib B.; Jhala Y.V.; Mondal I.; Ramakrishnan U.; Reddy P.A.; Saini S.; Sharma S.; Thatte P.; Yumnam B.; DeFries R.","Schoen, Jay M. (57657749200); Neelakantan, Amrita (57205751629); Cushman, Samuel A. (7006293279); Dutta, Trishna (55539420200); Habib, Bilal (6602419054); Jhala, Yadvendradev V. (35618215600); Mondal, Indranil (56943289600); Ramakrishnan, Uma (57203055849); Reddy, P. Anuradha (39561544000); Saini, Swati (56425164800); Sharma, Sandeep (57207173158); Thatte, Prachi (54792383700); Yumnam, Bibek (37062312800); DeFries, Ruth (57226261210)","57657749200; 57205751629; 7006293279; 55539420200; 6602419054; 35618215600; 56943289600; 57203055849; 39561544000; 56425164800; 57207173158; 54792383700; 37062312800; 57226261210","Synthesizing habitat connectivity analyses of a globally important human-dominated tiger-conservation landscape","2022","Conservation Biology","36","4","e13909","","","","12","10.1111/cobi.13909","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129223422&doi=10.1111%2fcobi.13909&partnerID=40&md5=7b14bd8c0a157b5dcc3abca84de74e12","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85129223422"
"Chua M.A.H.; Tan A.; Carrasco L.R.","Chua, Marcus A.H. (56317962600); Tan, Audrey (59315814300); Carrasco, Luis Roman (35291449900)","56317962600; 59315814300; 35291449900","Species awareness days: Do people care or are we preaching to the choir?","2021","Biological Conservation","255","","109002","","","","12","10.1016/j.biocon.2021.109002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100969409&doi=10.1016%2fj.biocon.2021.109002&partnerID=40&md5=4a337ad4f3683f3d5d637983a6d4d610","Article","Final","","Scopus","2-s2.0-85100969409"
"Scherr A.","Scherr, Alexander (57203944691)","57203944691","The 'Struggle for the Narrative': Cooperation and Conflict in Tiger King's Intermedial Universe","2023","Discourses on Culture","19","1","","115","130","15","0","10.2478/doc-2023-0005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201470432&doi=10.2478%2fdoc-2023-0005&partnerID=40&md5=b61d8d5edcae188cfd38d4632961faf4","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85201470432"
"Du Y.; Lubniewski K.; Price L.; Breslin G.; Thomson P.; Jinadasa N.; Soni N.","Du, Yao (58033720800); Lubniewski, Kathryn (57200397330); Price, Lori (58283832400); Breslin, Grace (58283345700); Thomson, Paula (58583453600); Jinadasa, Natashka (58283345800); Soni, Nikita (57209301678)","58033720800; 57200397330; 58283832400; 58283345700; 58583453600; 58283345800; 57209301678","“They Can't Believe They're a Tiger”: Insights from pediatric speech-language pathologist mobile app users and app designers","2023","International Journal of Language and Communication Disorders","58","5","","1717","1737","20","5","10.1111/1460-6984.12898","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159908518&doi=10.1111%2f1460-6984.12898&partnerID=40&md5=7cfa02156223ef1b33890ab9136926d2","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85159908518"
